,OrganisationID,OrganisationName,Latitude,Longitude,City,County,Postcode,Address1,ParentName,OrganisationType,Sector
0,17970,Walton Community Hospital - Virgin Care Services Ltd,51.37999725341797,-0.406042069196701,Walton-on-Thames,Surrey,KT12 3LD,,Virgin Care Services Ltd,Hospital,Independent Sector
1,17981,Woking Community Hospital (Virgin Care),51.31513214111328,-0.5562894940376282,Woking,Surrey,GU22 7HS,,Virgin Care Services Ltd,Hospital,Independent Sector
2,18102,North Somerset Community Hospital,51.43719482421875,-2.8471927642822266,Clevedon,Avon,BS21 6BS,North Somerset Community Hospital,North Somerset Community Partnership Community Interest Company,Hospital,NHS Sector
3,18138,Bridgewater Hospital,53.45974349975586,-2.245468854904175,Manchester,Greater Manchester,M15 5AT,120 Princess Road,Bridgewater Hospital (Manchester) Ltd,Hospital,Independent Sector
4,18142,Kneesworth House,52.07812118530274,-0.0306040551513433,Royston,,SG8 5JP,Old North Road,Partnerships In Care Ltd,Hospital,Independent Sector
5,18143,Stockton Hall Hospital,53.99540328979492,-1.0025526285171509,York,North Yorkshire,YO32 9UN,Stockton Hall,Partnerships In Care Ltd,Hospital,Independent Sector
6,18271,"Fryatt Hospital, Harwich",51.93469619750977,1.261444091796875,Harwich,Essex,CO12 4EX,419 Main Road,Anglian Community Enterprise Community Interest Company (ACE CIC),Hospital,Independent Sector
7,18272,Clacton Hospital,51.78607940673828,1.148187518119812,Clacton,Essex,CO15 1LH,,Anglian Community Enterprise Community Interest Company (ACE CIC),Hospital,Independent Sector
8,18289,Lakeside Hospital,52.19832611083984,-0.3102807104587555,Bedford,Bedfordshire,MK44 3AS,The Lane,Brookdale Healthcare Ltd (T/A Brookdale Care),Hospital,Independent Sector
9,18305,Orthopaedics and Spine Specialist Hospital,52.604942321777344,-0.2830218076705933,Peterborough,Cambridgeshire,PE3 8YA,1 Stirling Way,Orthopaedics and Spine Specialist Hospital,Hospital,Independent Sector
